pesticide,type (insecticide herbicide fungicide etc. ),insecticide class (organophosphate organochlorine prethroid carbamate neonicotinoid phenylpyrazole butenolide diamide/ryanoid IRG biological ,comment,
"2,4-d",herbicide,,,
"2,4-db",herbicide,,,
Acephate,insecticide,organophosphate,,
Acetochlor,herbicide,,,
Acifluorfen,herbicide,,,
Alachlor,herbicide,,,
Aminopyralid,herbicide,,,
Atrazine,herbicide,,,
Azoxystrobin,fungicide,,,
Bacillus amyloliquifacien,fungicide,,,
Bensulide,herbicide,,,
Bentazone,herbicide,,,
Bifenthrin,insecticide,pyrethroid,,
Bromoxynil,herbicide,,,
Calcium polysulfide,herbicide,other,also herbicide and fungicide,
Captan,fungicide,,,
Carbaryl,insecticide,carbamate,,
Chloropicrin,insecticide,other,also fungicide,
Chlorothalonil,insecticide,other,also fungicide,
Chlorpyrifos,insecticide,organophosphate,,
Clethodim,herbicide,,,
Clomazone,herbicide,,,
Clopyralid,herbicide,,,
Clothianidin,insecticide,neonicotinoid,,
Copper hydroxide,fungicide,,,
Copper sulfate,fungicide,,,
Copper sulfate tribasic,fungicide,,,
Cyhalofop,herbicide,,,
Cyhalothrin-lambda,insecticide,pyrethroid,,
Dicamba,herbicide,,,
Dichloropropene,insecticide,organochlorine,"also fungicide, nematocide, herbicide, etc",
Dichlorprop,herbicide,,,
Dicrotophos,insecticide,organophosphate,,
Dimethenamid(-p),herbicide,,,
Dimethoate,insecticide,organophosphate,,
Diuron,herbicide,,,
Eptc,herbicide,,,
Ethalfluralin,herbicide,,,
Ethoprophos,insecticide,organophosphate,,
Flumioxazin,herbicide,,,
Fluometuron,herbicide,,,
Fluroxypyr,herbicide,,,
Flutolanil,fungicide,,,
Fomesafen,herbicide,,,
Glufosinate,herbicide,,,
Glyphosate,herbicide,,,
Halosulfuron,herbicide,,,
Hexazinone,herbicide,,,
Imazapyr,herbicide,,,
Imazethapyr,herbicide,,,
Imidacloprid,insecticide,neonicotinoid,,
Indoxacarb,insecticide,other,,
Isoxaflutole,herbicide,,,
Malathion,insecticide,organophosphate,,
Mancozeb,insecticide,dithiocarbamate,,
Mcpa,herbicide,,,
Mesotrione,herbicide,,,
Metam,insecticide,dithiocarbamate,also herbicide and fungicide,
Metam potassium,insecticide,dithiocarbamate,also herbicide and fungicide,
Metconazole,fungicide,,,
Methyl bromide,insecticide,other,also herbicide and fungicide,
Metolachlor(-s),herbicide,,,
Metribuzin,herbicide,,,
Metsulfuron,herbicide,,,
Msma,herbicide,,,
Oxyfluorfen,herbicide,,,
Paraquat,herbicide,,,
Pendimethalin,herbicide,,,
Petroleum oil,insecticide,other,,
Phorate,insecticide,organophosphate,,
Phosmet,insecticide,organophosphate,,
Picloram,herbicide,,,
Pinoxaden,herbicide,,,
Prometryn,herbicide,,,
Propanil,herbicide,,,
Propargite,insecticide,other,,
Propazine,herbicide,,,
Propiconazole,fungicide,,,
Prothioconazole,fungicide,,,
Pyraclostrobin,fungicide,,,
Pyroxasulfone,herbicide,,,
Quinclorac,herbicide,,,
Saflufenacil,herbicide,,,
Sethoxydim,herbicide,,,
Simazine,herbicide,,,
Sulfentrazone,herbicide,,,
Tebuconazole,fungicide,,,
Terbufos,insecticide,organophosphate,,
Thiobencarb,herbicide,,,
Thiophanate-methyl,fungicide,,,
Tri-allate,herbicide,,,
Triclopyr,herbicide,,also fungicide,
Trifloxystrobin,fungicide,,,
Trifluralin,herbicide,,,
Ziram,fungicide,,,
