type,class,Freq
deltamethrin,pyrethroids,7738
permethrin,pyrethroids,4490
ddt,organochlorines,4135
bendiocarb,carbamates,3659
lambdacyhalothrin,pyrethroids,1942
pirimiphos-methyl,organophosphates,1372
fenitrothion,organophosphates,1254
malathion,organophosphates,1246
alphacypermethrin,pyrethroids,1135
propoxur,carbamates,566
etofenprox,pyrethroids,287
dieldrin,organochlorines,193
cyfluthrin,pyrethroids,153
carbosulfan,carbamates,148
chlorpyrifos-methyl,organophosphates,69
ddt,pyrethroids,14
fenthion,organophosphates,2
malathion,pyrethroids,2
alphacypermethrin,carbamates,0
chlorpyrifos-methyl,carbamates,0
cyfluthrin,carbamates,0
ddt,carbamates,0
deltamethrin,carbamates,0
dieldrin,carbamates,0
etofenprox,carbamates,0
fenitrothion,carbamates,0
fenthion,carbamates,0
lambdacyhalothrin,carbamates,0
malathion,carbamates,0
permethrin,carbamates,0
pirimiphos-methyl,carbamates,0
alphacypermethrin,organochlorines,0
bendiocarb,organochlorines,0
carbosulfan,organochlorines,0
chlorpyrifos-methyl,organochlorines,0
cyfluthrin,organochlorines,0
deltamethrin,organochlorines,0
etofenprox,organochlorines,0
fenitrothion,organochlorines,0
fenthion,organochlorines,0
lambdacyhalothrin,organochlorines,0
malathion,organochlorines,0
permethrin,organochlorines,0
pirimiphos-methyl,organochlorines,0
propoxur,organochlorines,0
alphacypermethrin,organophosphates,0
bendiocarb,organophosphates,0
carbosulfan,organophosphates,0
cyfluthrin,organophosphates,0
ddt,organophosphates,0
deltamethrin,organophosphates,0
dieldrin,organophosphates,0
etofenprox,organophosphates,0
lambdacyhalothrin,organophosphates,0
permethrin,organophosphates,0
propoxur,organophosphates,0
bendiocarb,pyrethroids,0
carbosulfan,pyrethroids,0
chlorpyrifos-methyl,pyrethroids,0
dieldrin,pyrethroids,0
fenitrothion,pyrethroids,0
fenthion,pyrethroids,0
pirimiphos-methyl,pyrethroids,0
propoxur,pyrethroids,0
